,Candidate_id,Class_no_Probability,Class_yes_Probability,Observed_Attendance
1140,candidate 10,0.064305512,0.935694488,yes
1141,candidate 20,0.146616986,0.853383014,yes
1142,candidate 30,0.493431599,0.506568401,yes
1143,candidate 40,0.486350745,0.513649255,yes
1144,candidate 50,0.334925967,0.665074033,yes
1145,candidate 60,0.328315435,0.671684565,yes
1146,candidate 70,0.328315435,0.671684565,yes
1147,candidate 80,0.334925967,0.665074033,yes
1148,candidate 90,0.797734369,0.202265631,no
1149,candidate 100,0.334925967,0.665074033,yes
1150,candidate 110,0.334925967,0.665074033,yes
1151,candidate 120,0.349664109,0.650335891,yes
1152,candidate 130,0.334925967,0.665074033,yes
1153,candidate 140,0.080595187,0.919404813,yes
1154,candidate 150,0.080595187,0.919404813,yes
1155,candidate 160,0.231478328,0.768521672,yes
1156,candidate 170,0.235199548,0.764800452,yes
1157,candidate 180,0.229877009,0.770122991,yes
1158,candidate 190,0.235199548,0.764800452,yes
1159,candidate 200,0.231478328,0.768521672,yes
1160,candidate 210,0.235199548,0.764800452,yes
1161,candidate 220,0.235199548,0.764800452,yes
1162,candidate 230,0.235199548,0.764800452,yes
1163,candidate 240,0.23358031,0.76641969,yes
1164,candidate 250,0.184064758,0.815935242,yes
1165,candidate 260,0.225986254,0.774013746,yes
1166,candidate 271,0.145839104,0.854160896,yes
1167,candidate 280,0.446643177,0.553356823,yes
1168,candidate 290,0.513821956,0.486178044,no
1169,candidate 300,0.609635586,0.390364414,no
1170,candidate 310,0.204358141,0.795641859,yes
1171,candidate 321,0.144377962,0.855622038,yes
1172,candidate 332,0.334925967,0.665074033,yes
1173,candidate 347,0.704201011,0.295798989,no
1174,candidate 356,0.407107287,0.592892713,yes
1175,candidate 368,0.126827054,0.873172946,yes
1176,candidate 383,0.484354507,0.515645493,yes
1177,candidate 398,0.194060239,0.805939761,yes
1178,candidate 412,0.681914932,0.318085068,no
1179,candidate 427,0.109111999,0.890888001,yes
1180,candidate 436,0.218116119,0.781883881,yes
1181,candidate 451,0.151872846,0.848127154,yes
1182,candidate 466,0.191005919,0.808994081,yes
1183,candidate 478,0.682648433,0.317351567,no
1184,candidate 493,0.482923789,0.517076211,yes
1185,candidate 508,0.414993973,0.585006027,yes
1186,candidate 523,0.414993973,0.585006027,yes
1187,candidate 538,0.159526485,0.840473515,yes
1188,candidate 553,0.334925967,0.665074033,yes
1189,candidate 571,0.704201011,0.295798989,no
1190,candidate 583,0.330308367,0.669691633,yes
1191,candidate 598,0.299033549,0.700966451,yes
1192,candidate 613,0.312726615,0.687273385,yes
1193,candidate 631,0.213072472,0.786927528,yes
1194,candidate 646,0.689074258,0.310925742,no
1195,candidate 661,0.682648433,0.317351567,no
1196,candidate 676,0.579106126,0.420893874,no
1197,candidate 691,0.334925967,0.665074033,yes
1198,candidate 706,0.332919025,0.667080975,yes
1199,candidate 721,0.225435381,0.774564619,yes
1200,candidate 736,0.242746129,0.757253871,yes
1201,candidate 751,0.332919025,0.667080975,yes
1202,candidate 766,0.358181178,0.641818822,yes
1203,candidate 781,0.328315435,0.671684565,yes
1204,candidate 796,0.738981357,0.261018643,no
1205,candidate 814,0.332919025,0.667080975,yes
1206,candidate 829,0.589425218,0.410574782,no
1207,candidate 844,0.218116119,0.781883881,yes
1208,candidate 859,0.262293109,0.737706891,yes
1209,candidate 871,0.319172419,0.680827581,yes
1210,candidate 889,0.166858194,0.833141806,yes
1211,candidate 904,0.614524403,0.385475597,no
1212,candidate 919,0.885904006,0.114095994,no
1213,candidate 937,0.811225029,0.188774971,no
1214,candidate 952,0.209474278,0.790525722,yes
1215,candidate 967,0.871871677,0.128128323,no
1216,candidate 982,0.73711696,0.26288304,no
1217,candidate 1000,0.014162332,0.985837668,yes
1218,candidate 1015,0.010732801,0.989267199,yes
1219,candidate 1033,0.218116119,0.781883881,yes
1220,candidate 1048,0.15468982,0.84531018,yes
1221,candidate 1063,0.308971327,0.691028673,yes
1222,candidate 1078,0.643566432,0.356433568,no
1223,candidate 1093,0.334925967,0.665074033,yes
1224,candidate 1108,0.334925967,0.665074033,yes
1225,candidate 1123,0.334925967,0.665074033,yes
1226,candidate 1138,0.225435381,0.774564619,yes
1227,candidate 1156,0.334925967,0.665074033,yes
1228,candidate 1171,0.225435381,0.774564619,yes
1229,candidate 1189,0.22182384,0.77817616,yes
1230,candidate 1207,0.223863689,0.776136311,yes
1231,candidate 1222,0.195475388,0.804524612,yes
1232,candidate 1233,0.56426186,0.43573814,no
